
🌿 KisanBazaar server running at http://localhost:8080
💳 Razorpay: ⚠️  Keys not set — add them to .env

  To configure Razorpay:
  1. Go to https://dashboard.razorpay.com → Test Mode → Settings → API Keys
  2. Edit kisanbazaar/.env and replace the placeholder values
  3. Restart the server: node server.js

[2026-03-29T18:24:17.853Z] GET /images/products/radish_1773600558714.png
[2026-03-29T18:24:17.870Z] GET /images/products/green-chillies.png
[2026-03-29T18:24:17.871Z] GET /images/products/bitter_gourd_real.png
[2026-03-29T18:24:17.874Z] GET /images/products/ridge_gourd_real.png
[2026-03-29T18:24:17.875Z] GET /images/products/pumpkin_real.png
[2026-03-29T18:24:17.876Z] GET /images/products/drumstick_real.png
[2026-03-29T18:24:17.883Z] GET /images/products/capsicum_real.png
[2026-03-29T18:24:17.889Z] GET /images/products/apple.png
[2026-03-29T18:24:17.896Z] GET /images/products/banana_robusta_real.png
[2026-03-29T18:24:17.899Z] GET /images/products/orange.png
[2026-03-29T18:24:17.900Z] GET /images/products/pomegranate_real.png
[2026-03-29T18:24:17.900Z] GET /images/products/papaya_real.png
[2026-03-29T18:24:17.908Z] GET /images/products/guava_real.png
[2026-03-29T18:24:17.913Z] GET /images/products/custard_apple_real.png
[2026-03-29T18:24:17.914Z] GET /images/products/watermelon_1773599596616.png
[2026-03-29T18:24:17.925Z] GET /images/products/muskmelon_1773599617680.png
[2026-03-29T18:24:17.928Z] GET /images/products/strawberry_1773599656220.png
[2026-03-29T18:24:17.938Z] GET /images/products/pineapple_1773599691785.png
[2026-03-29T18:24:17.939Z] GET /images/products/kiwi_1773600112964.png
[2026-03-29T18:24:17.945Z] GET /images/products/dragon_fruit_1773599756927.png
[2026-03-29T18:24:17.948Z] GET /images/products/pear_1773599784453.png
[2026-03-29T18:24:17.951Z] GET /images/products/chikoo_real.png
[2026-03-29T18:24:17.968Z] GET /images/products/grapes.png
[2026-03-29T18:24:17.987Z] GET /images/products/mangoes.png
[2026-03-29T18:24:17.988Z] GET /images/products/plum_1773600148242.png
[2026-03-29T18:24:17.988Z] GET /images/products/brown_rice_1773599824210.png
[2026-03-29T18:24:17.988Z] GET /images/products/black_rice_1773600173290.png
[2026-03-29T18:24:17.991Z] GET /images/products/jowar_1773599853798.png
[2026-03-29T18:24:18.011Z] GET /images/products/bajra_1773599928300.png
[2026-03-29T18:24:18.013Z] GET /images/products/wheat-flour.png
[2026-03-29T18:24:18.019Z] GET /images/products/chickpeas.png
[2026-03-29T18:24:18.028Z] GET /images/products/toor-dal.png
[2026-03-29T18:24:18.031Z] GET /images/products/red-lentils.png
[2026-03-29T18:24:18.038Z] GET /images/products/product_a2_milk_glass_bottle_1773582219298.png
[2026-03-29T18:24:18.040Z] GET /images/products/paneer.png
[2026-03-29T18:24:18.041Z] GET /images/products/milk.png
[2026-03-29T18:24:18.055Z] GET /images/products/groundnut-oil.png
[2026-03-29T18:24:18.063Z] GET /images/products/cashew.png
[2026-03-29T18:24:18.073Z] GET /images/products/walnut.png
[2026-03-29T18:24:18.076Z] GET /images/products/turmeric.png
[2026-03-29T18:24:18.130Z] GET /favicon.ico
[2026-03-29T18:25:22.529Z] GET /index.html
[2026-03-29T18:25:22.551Z] GET /css/style.css
[2026-03-29T18:25:22.554Z] GET /images/produce_basket.png
